Date;Timestamp;DeviceOrientation;AccelerationX;AccelerationY;AccelerationZ;Label
2022-10-24 01:13:32;1666563213.1964679;portrait;0.1729736328125;-0.4124298095703125;-0.861175537109375;
2022-10-24 01:13:32;1666563213.200964;portrait;0.0284271240234375;-0.426422119140625;-0.890899658203125;
2022-10-24 01:13:32;1666563213.202466;portrait;0.01068115234375;-0.4355926513671875;-0.8563995361328125;
2022-10-24 01:13:32;1666563213.2065148;portrait;0.0155181884765625;-0.4729156494140625;-0.9333038330078125;
2022-10-24 01:13:32;1666563213.209311;portrait;0.03961181640625;-0.3463134765625;-1.0129852294921875;
2022-10-24 01:13:32;1666563213.227535;portrait;-0.1208953857421875;-0.4973907470703125;-0.858245849609375;
2022-10-24 01:13:32;1666563213.230196;portrait;-0.07696533203125;-0.524627685546875;-0.7753448486328125;
2022-10-24 01:13:32;1666563213.2356281;portrait;-0.1829681396484375;-0.5266265869140625;-0.792083740234375;
2022-10-24 01:13:32;1666563213.286834;portrait;-0.0730743408203125;-0.521514892578125;-0.714080810546875;
2022-10-24 01:13:32;1666563213.33772;portrait;-0.1854705810546875;-0.50531005859375;-0.65631103515625;
2022-10-24 01:13:32;1666563213.388619;portrait;-0.0381622314453125;-0.53363037109375;-0.7476806640625;
2022-10-24 01:13:32;1666563213.442107;portrait;-0.1059112548828125;-0.6201324462890625;-0.715606689453125;
2022-10-24 01:13:32;1666563213.49397;portrait;-0.1116180419921875;-0.5717315673828125;-0.7085113525390625;
2022-10-24 01:13:32;1666563213.547416;portrait;-0.1944580078125;-0.4414215087890625;-0.64892578125;
2022-10-24 01:13:32;1666563213.596847;portrait;-0.061370849609375;-0.45806884765625;-0.566253662109375;
2022-10-24 01:13:32;1666563213.6478028;portrait;0.32061767578125;-0.506683349609375;-0.4775543212890625;
2022-10-24 01:13:32;1666563213.6964688;portrait;0.404296875;-1.051239013671875;-1.0537872314453125;
2022-10-24 01:13:32;1666563213.747128;portrait;-0.276641845703125;-1.7509613037109375;-1.5053863525390625;
2022-10-24 01:13:32;1666563213.79278;portrait;-0.5275421142578125;-1.956634521484375;-1.848724365234375;
2022-10-24 01:13:32;1666563213.841782;portrait;-0.5870361328125;-1.403533935546875;-1.3090362548828125;
2022-10-24 01:13:32;1666563213.8967319;portrait;-0.839996337890625;-0.934051513671875;-0.978851318359375;
2022-10-24 01:13:32;1666563213.947873;portrait;-0.64337158203125;-0.642578125;-0.61163330078125;
2022-10-24 01:13:32;1666563213.998574;portrait;-0.5054473876953125;-0.2862701416015625;-0.3425445556640625;
2022-10-24 01:13:32;1666563214.048538;portrait;-0.28125;0.1047821044921875;0.027984619140625;
2022-10-24 01:13:32;1666563214.098119;portrait;-0.3033599853515625;0.227996826171875;0.145294189453125;
